,timestamp,ctn_cpu,ctn_network,ctn_memory,node_cpu,node_network,node_memory
0,2022-05-04 11:37:03,11389.754385964912,3.507271604938271e-05,691.5413333333333,0.22111111111108206,0.13446666666666668,1651664230.546
1,2022-05-04 11:37:18,11389.754385964912,3.507271604938271e-05,691.5413333333333,0.22054761904761117,0.13823809523809524,1651664245.112
2,2022-05-04 11:37:33,11389.754385964912,5.056790123456789e-05,2294.1240888888888,0.21744444444438596,0.1464285714285714,1651664260.591
3,2022-05-04 11:37:48,11389.754385964912,5.056790123456789e-05,2294.1240888888888,0.21521428571428788,0.1464285714285714,1651664270.297
4,2022-05-04 11:38:03,11389.754385964912,6.014864197530864e-05,2284.475733333333,0.2148333333333626,0.15196190476190474,1651664284.53
5,2022-05-04 11:38:18,11389.754385964912,6.014864197530864e-05,2284.475733333333,0.21869047619041476,0.15442857142857142,1651664301.824
6,2022-05-04 11:38:33,11389.754385964912,5.5254444444444446e-05,3889.607111111111,0.2183333333333835,0.15977142857142856,1651664320.891
7,2022-05-04 11:38:48,11389.754385964912,5.5254444444444446e-05,3889.607111111111,0.2183333333333835,0.15977142857142856,1651664333.591
8,2022-05-04 11:39:03,11389.754385964912,3.802777777777778e-05,2269.7301333333335,0.21892857142859534,0.15874285714285713,1651664345.404
9,2022-05-04 11:39:18,11389.754385964912,3.802777777777778e-05,2269.7301333333335,0.21914285714287898,0.159,1651664364.804
10,2022-05-04 11:39:34,11389.754385964912,3.6535308641975294e-05,2270.8224000000005,0.22228571428564095,0.15957142857142856,1651664374.437
11,2022-05-04 11:39:49,11389.754385964912,3.6535308641975294e-05,2270.8224,0.22202380952377487,0.15936190476190476,1651664391.305
12,2022-05-04 11:40:04,11389.754385964912,3.6401111111111115e-05,2.0024888888888888,0.2178809523809924,0.16027619047619046,1651664408.797
13,2022-05-04 11:40:19,11389.754385964912,3.6401111111111115e-05,2.0024888888888888,0.22659523809517812,0.1593238095238095,1651664423.541
14,2022-05-04 11:40:34,0.0,4.0676049382716044e-05,2.184533333333333,0.23361904761903193,0.5088666666666667,1651664439.338
