,timestamp,ctn_cpu,ctn_network,ctn_memory,node_cpu,node_network,node_memory
0,2022-06-03 13:27:55,0.008004702299999483,0.0008728741975308639,5057.376711111111,0.3479047619047607,0.18168571428571428,1654262876.107
1,2022-06-03 13:28:10,0.008004702299999483,0.0008728741975308639,5057.376711111111,0.34583333333334493,0.19593333333333335,1654262892.502
2,2022-06-03 13:28:25,0.008774898399999781,0.0009561838271604936,5039.991466666666,0.34938888888889574,0.17307619047619044,1654262911.578
3,2022-06-03 13:28:40,0.008774898399999781,0.0006981338271604937,9952.460799999999,0.34350000000000125,0.17307619047619044,1654262925.893
4,2022-06-03 13:28:55,0.006926916155555319,0.0006981338271604937,9952.460799999999,0.3387857142857168,0.17864761904761906,1654262940.222
5,2022-06-03 13:29:11,0.006926916155555319,0.0006200099999999999,5066.205866666666,0.33564285714285713,0.19078095238095238,1654262955.132
6,2022-06-03 13:29:26,0.007581906044444824,0.0006200099999999999,5066.205866666666,0.36023809523809097,0.1823238095238095,1654262972.663
7,2022-06-03 13:29:41,0.007581906044444824,0.0004503827160493827,9996.288,0.3602380952380909,0.1823238095238095,1654262984.395
8,2022-06-03 13:29:56,0.005761080366667354,0.0004503827160493827,9996.288,0.36107142857141783,0.1704095238095238,1654263000.617
9,2022-06-03 13:30:11,0.005761080366667354,0.0004503827160493827,9996.288,0.3635952380952322,0.18230476190476191,1654263011.702
10,2022-06-03 13:30:26,0.007404601177777042,0.0007284001234567901,5082.544355555556,0.3695476190476159,0.19877142857142857,1654263030.865
11,2022-06-03 13:30:41,0.007404601177777042,0.0007679056790123456,9983.954488888889,0.3713333333333464,0.1946,1654263043.881
12,2022-06-03 13:31:10,0.0074535249000000975,0.0012792544444444444,5056.056888888888,0.3334285714285742,0.20388571428571428,1654263077.099
13,2022-06-03 13:31:25,0.009872309088888817,0.0012792544444444444,5056.056888888888,0.34076190476191387,0.20069523809523807,1654263092.894
14,2022-06-03 13:32:25,0.009386342166665902,0.00136079012345679,9315.1232,0.35069047619046995,0.20489523809523807,1654263145.798
