,timestamp,carts_carts-db,catalogue_catalogue-db,catalogue_iot-handler,front-end_carts,front-end_catalogue,front-end_orders,front-end_session-db,front-end_user,iot-handler-evil_temperature-sensor,iot-handler_temperature-sensor,orders_carts,orders_orders-db,orders_payment,orders_shipping,orders_user,queue-master_rabbitmq,shipping_rabbitmq,user_user-db
0,2022-05-04 11:37:03,5.946400000000001,8.168533333333333,6.2,15.739942528735634,10.041666666666668,70.98214285714286,0.7338666666666667,12.659774436090228,,6.0,13.75,39.69886666666667,3.3076923076923075,6.611111111111111,14.305555555555554,0.46106666666666674,0.0,11.9014
1,2022-05-04 11:37:18,6.323666666666667,7.293333333333334,6.342857142857143,15.225806451612904,10.817307692307693,73.80952380952381,0.7931746983936546,11.416666666666668,,6.0,13.333333333333332,34.8358,3.3055555555555554,6.3076923076923075,13.839080459770116,0.4788,0.0010666666666666667,14.563
2,2022-05-04 11:37:33,6.0174666666666665,8.460266666666666,6.287179487179487,15.736842105263158,12.295673076923077,75.625,0.6318597052743883,11.837662337662337,,6.0,15.166666666666666,31.965133333333334,3.3636363636363638,6.153846153846154,13.907019704433498,0.5142666666666666,0.0,12.681866666666664
3,2022-05-04 11:37:48,5.468399999999999,7.001600000000001,6.666666666666666,13.657407407407408,11.414141414141415,76.3157894736842,0.7338666666666667,13.628571428571428,,6.0,12.916666666666668,41.71913333333333,3.325,6.2,13.238636363636363,0.39013333333333333,0.0,10.829333333333334
4,2022-05-04 11:38:03,5.871666666666666,7.5086,6.142857142857142,14.171539961013645,11.547619047619047,77.38095238095238,0.7594666666666667,13.73766447368421,,6.0,15.295454545454545,36.4298,3.45,7.031746031746032,14.621212121212121,0.46106666666666674,0.0,13.607
5,2022-05-04 11:38:18,5.886866666666666,7.078066666666667,6.2,15.048076923076923,11.602564102564102,78.36257309941521,0.6741333333333334,13.68421052631579,,6.0,13.25,44.89553333333333,4.666666666666666,6.181818181818182,13.641666666666666,0.4078666666666667,0.0010666666666666667,11.550866666666668
6,2022-05-04 11:38:33,5.7531333333333325,6.4181333333333335,6.0,14.497518610421835,10.625,75.0,0.7338666666666667,13.684684684684683,,6.0,14.920634920634921,32.21933333333334,3.4873737373737375,6.866666666666667,13.414322250639385,0.4078666666666667,0.0,12.620066666666666
7,2022-05-04 11:38:48,5.744866666666667,6.4181333333333335,6.333333333333333,12.946428571428573,11.36904761904762,79.25595238095238,0.7509333333333332,12.580645161290324,,6.0,14.535714285714285,49.5204,5.342857142857143,7.15,13.10144927536232,0.42560000000000003,0.0,11.512333333333334
8,2022-05-04 11:39:03,5.026,6.709866666666667,6.0,14.375,10.727272727272727,85.71428571428571,0.6226666666666666,12.226190476190474,,6.0,15.0,43.3732,4.75,6.222222222222222,14.53125,0.39013333333333333,0.0,10.168333333333333
9,2022-05-04 11:39:18,5.183066666666667,6.1264,6.25,15.24516129032258,10.0,80.57291666666666,0.7424,11.665625,,6.0,14.895833333333332,55.154466666666664,5.142857142857142,6.45,13.616071428571429,0.3724,0.0010666666666666667,10.6122
10,2022-05-04 11:39:33,5.806533333333334,6.4181333333333335,6.222222222222222,15.212121212121211,10.0,74.96345029239765,0.6912,13.314436885865458,,6.0,16.305555555555557,46.57633333333334,3.357142857142857,6.6,11.791666666666668,0.3724,0.0,12.971
11,2022-05-04 11:39:48,5.043333333333333,5.4659569419449445,6.285714285714286,14.656954887218046,12.714932126696832,75.05952380952381,0.6312000000000001,12.614182692307693,,6.0,14.09090909090909,44.1198,3.4,6.142857142857142,12.508741258741258,0.40776739970678394,0.0,9.657666666666668
12,2022-05-04 11:40:03,5.4412,8.82941569647263,6.0,15.438311688311689,11.11111111111111,79.86111111111111,0.7941333333333334,12.653326403326403,,8.0,14.523809523809522,56.65566666666667,3.4,6.153846153846153,13.689393939393941,0.4433971988795518,0.0,12.871666666666666
13,2022-05-04 11:40:18,5.714533333333334,4.959466666666668,5.942857142857143,14.773148148148149,11.575757575757574,76.61458333333334,0.6485333333333333,11.768571428571429,,6.0,14.444444444444445,37.4034,3.375,6.2,12.507352941176471,0.4256,0.0010666666666666667,10.795133333333332
14,2022-05-04 11:40:33,6.103733333333333,10.1342,6.725,16.42109500805153,10.90909090909091,84.21052631578948,0.8789333333333332,13.004926108374384,,8.0,17.22222222222222,59.41106666666667,3.549107142857143,6.727272727272727,15.083333333333336,0.4965333333333333,0.0,14.926533333333332
